as_of,ticker,price,market_cap,one_week_pct,ret_30d,vol_ann,trailing_pe,week52_low,week52_high,score,rank
2026-02-27 02:36:34,AAPL,272.95,4011799085056,3.253264953641799,0.0465636386421906,0.2962761970651727,34.594425,169.21,288.62,0.964763730220996,1
2026-02-27 02:36:34,NVDA,184.89,4501516845056,-1.643789981977295,-0.004951284543530554,0.4037576227451406,45.651848,86.62,212.19,0.6520740470186686,2
2026-02-27 02:36:34,AMD,203.68,332082085888,1.778931463849509,-0.0782459539729683,0.7560494751698837,78.038315,76.48,267.08,0.31531644973245077,3
2026-02-27 02:36:34,TSLA,408.58,1533168582656,-0.6661530446276931,-0.08635962562739485,0.36253031271787955,385.45285,214.25,498.83,0.2647149910741885,4
